moment,sd,,,,,
0.0150704,0.0007363,average donation in terms of share of HH income,,0.013538464,0.014883415,0.014988906
0.0124877,0.0012657,average catholic,,0.015839208,0.017025544,0.0109583
0.0228047,0.0017146,average pentecostal,,0.015844078,0.017395144,0.023532817
0.0218102,0.0019516,average protestant,,0.015404692,0.017146853,0.021632268
0.0218286,0.0027369,average other religion,,0.01618554,0.017715507,0.01984867
0.0037616,0.0007691,average no religion,,0.006691174,0.007646999,0.004034933
0.0112399,0.0010043,average young,,0.019872204,0.020918501,0.016296373
0.0185035,0.0011365,average middle,,0.012568744,0.01391219,0.010000458
0.0180066,0.0026561,average old,,0.019611332,0.021995687,0.026390512
0.0149799,0.0010068,average low crime,,0.015289827,0.016546688,0.018696929
0.0151739,0.0011087,average high crime,,0.017383119,0.018915083,0.017322335
0.015966598,0.000523879,average time in hours per week (later everything in terms of standard deviations from mean),,0.00174804,0.001958842,0.002112026
-0.3124994,0.0564678,average catholic,,0.184546805,0.152500837,-0.075654076
0.1667127,0.0630202,average pentecostal,,0.186023831,0.199419146,0.19436833
0.1067966,0.0727501,average protestant,,0.148568283,0.183796341,0.100513663
0.1815447,0.1060873,average other religion,,0.208570667,0.216743469,0.077768602
-0.5610372,0.104117,average no religion,,-0.548200046,-0.556958922,-0.218736855
-0.0593916,0.0551595,average young,,0.453973136,0.402241435,0.005357403
-0.0009594,0.0485172,average middle,,-0.135626519,-0.14439807,-0.128051465
0.25458,0.1429382,average old,,0.870436175,0.942892558,0.328584434
-0.0526563,0.0468867,average low crime,,0.107808575,0.090153087,0.100379987
0.0472425,0.0506972,average high crime,,0.330513522,0.329492826,0.02788782
0.015424054,0.000547757,average pray,,0.008093106,0.013011991,1.20E-15
-0.0479193,0.0181533,average catholic,,-0.148698828,0.234885238,-0.033510905
0.0329615,0.0199704,average pentecostal,,-0.303369168,-0.41324068,-0.033512968
0.0500634,0.023939,average protestant,,0.061245274,-0.358264455,-0.033512968
-0.0343322,0.0319873,average other religion,,-0.3320907,-0.401558721,-0.033512968
-0.0796686,0.1028567,average no religion,,0.534239923,0.576115972,0.10212193
-0.0680564,0.016314,average young,,-0.335003215,-0.345328959,-0.033510182
0.0469981,0.0159404,average middle,,-0.335003215,-0.074483715,-0.033512968
0.0420678,0.0376967,average old,,1.421783757,2.581247837,-0.033512968
-0.0313827,0.0154958,average low crime,,-0.225053542,-0.246384686,-0.033511243
0.0338616,0.0153639,average high crime,,-0.135370528,0.049731103,-0.033512968
0.1638225,0.0217223,average community_help_job catholic,,0.309715474,0.328338415,0.153911591
0.32,0.0269975,average pentecostal,,0.309163511,0.333266118,0.69606605
0.3532338,0.0333479,average protestant,,0.304023979,0.330855883,0.504368866
0.25,0.0420769,average other religion,,0.31258016,0.336195388,0.365218071
0.05,0.0498179,average _job no religion,,0.094060525,0.109143317,0.042664916
0.2715405,0.0222867,average young,,0.351227606,0.367636005,0.367763779
0.2575758,0.0207032,average middle,,0.266796129,0.289219904,0.303258892
0.2597403,0.0496336,average old,,0.390589668,0.421671516,0.51297797
0.1844262,0.0167869,average low crime,,0.298406198,0.3184095,0.420250514
0.3525346,0.0224409,average high crime,,0.330631264,0.35392951,0.459601895
,,,,,,run 11_16_m - 1543 (location)
,,,,,,C:\Users\mv416\Box\brazil\modified model\foc_augmented\simplified\results\run_11_16_m
,,,,,,
,,,,,,
,,,,,,paramteters
,,,,,,2.1869
,,,,,,2.7541
,,,,,,0.625
,,,,,,0.125
,,,,,,0.03125
,,,,,,0.0178125
,,,,,,0.26
,,,,,,0.0021875
,,,,,,0.3225
,,,,,,0.00609375
,,,,,,0.94755
,,,,,,0.01
,,,,,,0.145
,,,,,,0.025625
,,,,,,0.645
